year;Cancel_date;ROA_;Z_A_;capital;inn
2008;1.5797376e+18;;;;0242009443
2009;1.5797376e+18;;;;0242009443
2010;1.5797376e+18;;;;0242009443
2011;1.5797376e+18;0.004;0.17462491734443392;20000.0;0242009443
2012;1.5797376e+18;0.003;0.1963577375901463;20000.0;0242009443
2013;1.5797376e+18;0.0022;0.20316114109483424;40000.0;0242009443
2014;1.5797376e+18;0.0014;0.19452591788876833;40000.0;0242009443
2015;1.5797376e+18;0.0014;0.19131626652518016;40000.0;0242009443
2016;1.5797376e+18;0.0011;0.19011732986897215;40000.0;0242009443
2017;1.5797376e+18;0.0007;0.18507570647633947;40000.0;0242009443
2018;1.5797376e+18;0.0008;0.18568931075160147;40000.0;0242009443
2019;1.5797376e+18;0.0011;0.19435279203456574;;0242009443
2020;-9.223372036854776e+18;0.003039179816251864;0.1903411229279388;;
2021;-9.223372036854776e+18;0.0062987118415712105;0.1825804206257629;;
2022;1.5797376e+18;0.005180201522022143;0.19448229412642987;40000.0;0242009443
2023;-9.223372036854776e+18;0.006486020194779937;0.19522097599176708;;
2024;-9.223372036854776e+18;0.005686427108595037;0.19496249394674198;;
2025;-9.223372036854776e+18;0.005830098352857152;0.19496249394674198;;
